Modifier name,Option name,Quantity sold,Gross sales,Quantity refunded,Refunds,Net sales
Drink Options (Sets),Bottle Water,2.000,0,0.000,0,0
Drink Options (Sets),Coke,14.000,0,0.000,0,0
Drink Options (Sets),Coke Zero,7.000,0,0.000,0,0
Drink Options (Sets),Fanta Orange,4.000,0,0.000,0,0
Drink Options (Sets),Fanta Strawberry,1.000,0,0.000,0,0
Drink Options (Sets),Schweppes Manow,2.000,0,0.000,0,0
Make it Better,Crispy Bacon (เบคอนกรอบ),4.000,160,0.000,0,160
Make it Better,Double Cheese (เพิ่มชีส),5.000,200,0.000,0,200
Make it Better,Grilled Onions (หอมใหญ่ย่าง),3.000,90,0.000,0,90
Make it Better,Jalapenos (ฮาลาปิโน),2.000,80,0.000,0,80
Make it Better,Spicy Sriracha Mayo (ซอสมาโยศรีราชาเผ็ด),1.000,40,0.000,0,40
Mix and Match - Burger Option,Double Smash Burger,1.000,0,0.000,0,0
Mix and Match - Burger Option,Single Smash Burger,1.000,0,0.000,0,0
Mix and Match - Burger Option,Super Double Bacon & Cheese,2.000,0,0.000,0,0
Mix and Match - Drink Options,Coke,1.000,0,0.000,0,0
Mix and Match - Drink Options,Schweppes Manow,1.000,0,0.000,0,0
Mix and Match - Drink Options,Soda Water,1.000,0,0.000,0,0
Mix and Match - Drink Options,Sprite,1.000,0,0.000,0,0
🛑🛑 PLEASE NO 🛑🛑,❌ 🍅 NO TOMATO (ไม่ใส่มะเขือเทศ)❌,8.000,0,0.000,0,0
🛑🛑 PLEASE NO 🛑🛑,❌ 🥬 NO SALAD (ไม่ใส่สลัด)❌,6.000,0,0.000,0,0
🛑🛑 PLEASE NO 🛑🛑,❌ 🧀 CHEESE (ไม่ใส่ซีส) ❌,2.000,0,0.000,0,0
🛑🛑 PLEASE NO 🛑🛑,❌NO BURGER SAUCE (ไม่ใส่ซอดเบอร์เกอร์) ❌,4.000,0,0.000,0,0
🛑🛑 PLEASE NO 🛑🛑,❌🥒 NO PICKLES (ไม่ใส่แตงดอง)❌,12.000,0,0.000,0,0
🛑🛑 PLEASE NO 🛑🛑,❌🧅 NO ONIONS (ไม่ใส่หัวหอม)❌,8.000,0,0.000,0,0
