channel,channelSku,recipeId
LOYVERSE,10000,6
LOYVERSE,10001,6
LOYVERSE,10002,6
LOYVERSE,10003,22
LOYVERSE,10004,1
LOYVERSE,10006,42
LOYVERSE,10009,40
LOYVERSE,10010,5
LOYVERSE,10012,8
LOYVERSE,10013,9
LOYVERSE,10018,4
LOYVERSE,10019,37
LOYVERSE,10020,26
LOYVERSE,10022,39
LOYVERSE,10025,10
LOYVERSE,10026,35
LOYVERSE,10027,13
LOYVERSE,10028,14
LOYVERSE,10029,33
LOYVERSE,10030,15
LOYVERSE,10031,3
LOYVERSE,10032,12
LOYVERSE,10033,32
LOYVERSE,10034,41
LOYVERSE,10035,23
LOYVERSE,10036,36
LOYVERSE,10066,11
LOYVERSE,10068,43
LOYVERSE,10069,44
LOYVERSE,10070,19
LOYVERSE,10071,18
