integration_name,direction (inbound/outbound/internal),files_involved,endpoints_involved,env_vars_used,purpose,active_status,risk_level,notes
Loyverse,internal/outbound,LOYVERSE_WEBHOOK_SETUP.md;archive/_legacy/extracted_dashboard/Restaurant-Hub/client/src/pages/POSLoyverse.backup.tsx;archive/_legacy/loyverse-ai-updated-package/server/routes/routes.ts;archive/_legacy/routes.ts_legacy_dir/importLoyverseShifts.ts;archive/_legacy/routes.ts_legacy_dir/loyverseAPI.ts;archive/_legacy/routes.ts_legacy_dir/loyverseAPI_old.ts;archive/_legacy/routes.ts_legacy_dir/routes/loyverseEnhanced.ts;archive/_legacy/routes.ts_legacy_dir/services/enhancedLoyverseAPI.ts;archive/_legacy/routes.ts_legacy_dir/services/loyverse.ts;archive/_legacy/routes.ts_legacy_dir/services/loyverseDataOrchestrator.ts;archive/_legacy/routes.ts_legacy_dir/services/loyverseDataValidator.ts;archive/_legacy/routes.ts_legacy_dir/services/loyverseParsers.ts;archive/_legacy/routes.ts_legacy_dir/services/loyverseReceipts.ts;archive/_legacy/routes.ts_legacy_dir/services/pos-ingestion/loyverse.js;attached_assets/All Menu Items- SKU and Categories - Loyverse_1761808301207.csv;attached_assets/All Menu Items- SKU and Categories - Loyverse_1761808391619.csv;attached_assets/All Menu Items- SKU and Categories - Loyverse_1762489025094.csv;attached_assets/Loyverse Item Lists_1751480126062.csv;attached_assets/Pasted--GOAL-CLEAR-CORRECT-Mirror-Loyverse-1-1-inside-our-POS-_1765807904933.txt;attached_assets/Pasted--GOLDEN-PATCH-DS-LY-DB-DATA-SAFETY-LOYVERSE-HISTORY-REA_1765880076738.txt;attached_assets/Pasted--PATCH-O4-LOYVERSE-MAPPING-CONSOLE-LIVE-QR-PAYMENT-API-_1765266309094.txt;attached_assets/Pasted--PATCH-O4-LOYVERSE-MAPPING-CONSOLE-LIVE-QR-PAYMENT-API-_1765266411398.txt;attached_assets/Pasted-Backend-server-services-balanceService-ts-import-db-from-db-import-loyverse-shifts-dail-1758604634909_1758604634910.txt;attached_assets/Pasted-Data-Synchronization-Correction-Based-on-Loyverse-Receipt-Data-Based-on-the-provided-Loyverse-rece-1752804597158_1752804597161.txt;attached_assets/Pasted-Data-Synchronization-Correction-Based-on-Loyverse-Receipt-Data-Based-on-the-provided-Loyverse-rece-1752804811720_1752804811722.txt,archive/_legacy/loyverse-ai-updated-package/server/routes/routes.ts;archive/_legacy/routes.ts_legacy_dir/routes/loyverseEnhanced.ts;server/routes/loyverseEnhanced.ts;server/routes/loyverseMapRoutes.ts;server/routes/loyverseMenuImport.ts;server/routes/loyverseShiftReport.ts;server/routes/loyverseSync.ts;server/routes/loyverseV2.ts,DATABASE_URL;LOYVERSE_ACCESS_TOKEN;LOYVERSE_API_KEY;LOYVERSE_API_TOKEN;LOYVERSE_BASE_URL;LOYVERSE_CLIENT_ID;LOYVERSE_CLIENT_SECRET;LOYVERSE_STORE_ID;LOYVERSE_TOKEN;LOYVERSE_WEBHOOK_SECRET;OPENAI_API_KEY,static keyword-matched integration surface,unknown,medium,Needs runtime token/config verification
Grab,internal/outbound,attached_assets/Pasted--EXECUTION-MODE-PATCH-P-L-STRUCTURE-GRAB-VISIBILITY-OBJ_1767676396808.txt;attached_assets/Pasted--h3-Sales-Information-h3-Label-Grab-Sales-Label-Input-type-number-form-r-1753296675591_1753296675593.txt;attached_assets/Pasted-Scope-final-Channels-grab-pos-remove-Foodpanda-paths-UI-options-What-it-does-Map-any-exter-1761987513329_1761987513331.txt;client/src/pages/analysis/GrabLoyverseMonthlyReconciliation.tsx,,,static keyword-matched integration surface,unknown,medium,Needs runtime token/config verification
Email,internal/outbound,GMAIL_SETUP_COMPLETE_GUIDE.md;GMAIL_SETUP_GUIDE.md;GMAIL_VERIFICATION_FIX.md;archive/_legacy/routes.ts_legacy_dir/lib/email.ts;archive/_legacy/routes.ts_legacy_dir/services/cronEmailService.ts;archive/_legacy/routes.ts_legacy_dir/services/email.ts;archive/_legacy/routes.ts_legacy_dir/services/emailService.ts;archive/_legacy/routes.ts_legacy_dir/services/emailTemplate.ts;archive/_legacy/routes.ts_legacy_dir/services/gmailService.ts;archive/_legacy/routes.ts_legacy_dir/services/googleOAuthEmailService.ts;archive/_legacy/routes.ts_legacy_dir/services/jussi/emailService.js;archive/_legacy/routes.ts_legacy_dir/services/salesEmail.ts;archive/_legacy/routes.ts_legacy_dir/services/workingEmailService.ts;attached_assets/Pasted--FINAL-EXECUTION-PATCH-TABLE-BASED-DAILY-REVIEW-EMAIL-A_1766383076370.txt;attached_assets/Pasted--Full-Working-Endpoint-api-send-form-summary-ts-This-is-a-Next-js-API-route-using-Gmail-SMTP-via-1754275333312_1754275333316.txt;attached_assets/Pasted--PATCH-TABLE-BASED-DAILY-REVIEW-EMAIL-FINAL-OBJECTIVE-N_1766384761510.txt;attached_assets/Pasted-1-API-combined-forms-list-detail-email-server-api-forms-ts-ts-Copy-Edit-import-prisma-fro-1754661834149_1754661834151.txt;attached_assets/Pasted-DO-NOT-DO-tell-the-agent-Do-not-rename-tables-or-models-Do-not-touch-Section-1-daily-email-PDF-1755973794808_1755973794810.txt;attached_assets/Pasted-Fix-Drinks-in-Shopping-List-Form-Library-and-Email-Proactive-The-issue-is-legacy-data-or-missing--1757521990477_1757521990478.txt;attached_assets/Pasted-Fixes-to-get-Sales-Stock-Email-Library-working-0-Clean-up-duplicates-Delete-ignore-client-s-1754663515862_1754663515865.txt;attached_assets/Pasted-Got-it-Cam-I-ll-ship-you-a-drop-in-9-00-AM-Bangkok-Daily-Review-Email-that-s-minimal-profession-1761563954652_1761563954658.txt;attached_assets/Pasted-Here-s-a-full-replacement-generate-email-html-function-for-your-Smash-Brothers-Burgers-Dashboard-e-1754288923325_1754288923326.txt;attached_assets/Pasted-Here-s-the-end-to-end-setup-so-Form-1-Form-2-merged-PDF-email-saved-to-Library-with-view-re-1755355002646_1755355002647.txt;attached_assets/Pasted-PUSH-Add-Shopping-List-Meat-Buns-Drinks-to-Library-Email-Do-not-change-DB-schema-or-expenses-O-1754668542626_1754668542629.txt;attached_assets/Pasted-PUSH-Drinks-per-form-in-Library-Minimal-HTML-Email-with-40-40-logo-Do-not-run-migrations-or-tou-1754673124272_1754673124273.txt,server/routes/adminTestEmail.ts,APP_BASE_URL;DAILY_REPORT_TO;EMAIL_FROM;EMAIL_TO_MANAGEMENT;GMAIL_APP_PASSWORD;GMAIL_PASS;GMAIL_USER;GOOGLE_CLIENT_ID;GOOGLE_CLIENT_SECRET;GOOGLE_EMAIL;GOOGLE_PASSWORD;GOOGLE_REFRESH_TOKEN;GOOGLE_USER_EMAIL;LOYVERSE_TOKEN;MANAGEMENT_EMAIL;SALES_SUBMIT_CC;SBB_EMAIL_PASS;SBB_EMAIL_USER;SBB_MANAGEMENT_EMAIL;SENDGRID_API_KEY;SENDGRID_FROM_EMAIL;SENDGRID_TO_EMAIL;SHIFT_ALERT_EMAIL;SMTP_FROM;SMTP_HOST;SMTP_PASS;SMTP_PORT;SMTP_USER,static keyword-matched integration surface,unknown,medium,Needs runtime token/config verification
PDF,internal/outbound,archive/_legacy/routes.ts_legacy_dir/lib/pdf.ts;archive/_legacy/routes.ts_legacy_dir/services/pdf.ts;attached_assets/Daily Sales and Stock Form_1751314499197.pdf;attached_assets/Pasted--PATCH-3-SHOPPING-LIST-PDF-EXPORT-Enterprise-Grade-This_1765205154246.txt;attached_assets/Pasted--PATCH-3-SHOPPING-LIST-PDF-EXPORT-Enterprise-Grade-This_1765205326152.txt;attached_assets/Pasted--PATCH-4-B-SHOPPING-LIST-DATE-RANGE-EXPORT-PDF-BUNDLE-Z_1765206411964.txt;attached_assets/Pasted--PATCH-5-SHIFT-REPORT-PDF-EXPORT-Manager-Grade-Enterpri_1765211064198.txt;attached_assets/Pasted--REPLIT-AGENT-PHASE-2-CHUNK-2-PDF-BUILDER-You-must-foll_1764850606894.txt;attached_assets/Pasted-Confirmation-of-Preferences-Recipe-Cards-Keep-A4-dimensions-210x297mm-portrait-printable-PDF-fo-1757527873878_1757527873879.txt;attached_assets/Pasted-DO-NOT-DO-tell-the-agent-Do-not-rename-tables-or-models-Do-not-touch-Section-1-daily-email-PDF-1755973794808_1755973794810.txt;attached_assets/Pasted-Here-s-the-end-to-end-setup-so-Form-1-Form-2-merged-PDF-email-saved-to-Library-with-view-re-1755355002646_1755355002647.txt;attached_assets/Pasted-PATCH-D-HEALTH-SAFETY-AUDIT-PDF-PRINT-Scope-Generate-pr_1766232711246.txt;attached_assets/Pasted-PATCH-D-HEALTH-SAFETY-AUDIT-PDF-PRINT-Scope-Generate-pr_1766232781846.txt;attached_assets/Pasted-PATCH-D-HEALTH-SAFETY-AUDIT-PDF-PRINT-Scope-Generate-pr_1766232806130.txt;attached_assets/Pasted-Plan-Enhance-Receipts-Page-client-src-pages-Receipts-tsx-Update-Existing-Add-upload-PDF-CSV-Ex-1753080081945_1753080081947.txt;attached_assets/Pasted-Step-by-Step-Reasoning-for-Form-Update-Problem-Analysis-From-the-PDF-review-the-form-lacks-key-sec-1753524204219_1753524204222.txt;attached_assets/Pasted-et-s-ship-the-three-things-you-asked-for-next-PDF-upload-on-the-Expenses-page-uses-your-new-api--1756231839972_1756231839974.txt;client/src/lib/pdfGenerator.ts;create-form-196-pdf.js;create-project-pdf.js;extracted_dashboard/Restaurant-Hub/attached_assets/Daily Sales and Stock Form_1751314499197.pdf;form-196-daily-shift-report.pdf;form-196-fixed.pdf;form-196.pdf;scripts/one_shot_bank_pdf.sh,server/routes/healthSafety/pdf.ts,,static keyword-matched integration surface,unknown,medium,Needs runtime token/config verification
AI,internal/outbound,DAILY_SALES_STOCK_ARCHITECTURE_REPORT.md;DAILY_SALES_STOCK_FORMS_TEST_REPORT.md;DAILY_SALES_WORKFLOW_TEST_REPORT.md;GMAIL_SETUP_COMPLETE_GUIDE.md;GMAIL_SETUP_GUIDE.md;GMAIL_VERIFICATION_FIX.md;after-wait.png;archive/_legacy/DailySales.legacy.tsx;archive/_legacy/DailySalesLibrary.tsx;archive/_legacy/DailySalesStock.tsx;archive/_legacy/DailyStock.tsx;archive/_legacy/client/src/pages/DailySales.tsx.bak;archive/_legacy/client/src/pages/DailySales.tsx.bak.1756680894;archive/_legacy/client/src/pages/operations/DailySalesLibrary.tsx.bak;archive/_legacy/client/src/pages/operations/daily-sales/Library.tsx.backup;archive/_legacy/client/src/pages/operations/daily-sales/Library.tsx.bak;archive/_legacy/client/src/pages/operations/daily-sales/Library.tsx.bak.1756364562;archive/_legacy/client/src/pages/operations/daily-sales/View.tsx.backup;archive/_legacy/client/src/pages/operations/daily-sales/View.tsx.bak;archive/_legacy/client/src/pages/operations/daily-sales/View.tsx.bak.1756364562;archive/_legacy/daily-stock.tsx;archive/_legacy/daily_sales_form_locked.html;archive/_legacy/debug_files/DailyShiftForm.tsx;archive/_legacy/loyverse-ai-updated-package/server/routes/routes.ts;archive/_legacy/routes.ts_legacy_dir/agents/jussi.ts,archive/_legacy/loyverse-ai-updated-package/server/routes/routes.ts;archive/_legacy/routes.ts_legacy_dir/api/daily-sales.ts;archive/_legacy/routes.ts_legacy_dir/api/daily-stock.ts;archive/_legacy/routes.ts_legacy_dir/api/library/daily-sales.ts;archive/_legacy/routes.ts_legacy_dir/routes/dailySalesLibrary.ts;archive/_legacy/routes.ts_legacy_dir/routes/dailyStock.ts;server/api/daily-sales.legacy.ts;server/api/daily-stock.ts;server/api/library/daily-sales.ts;server/routes/adminTestEmail.ts;server/routes/aiOpsControl.ts;server/routes/analysisDailyReview.ts;server/routes/analysisDailySales.ts;server/routes/dailyReviewComments.ts;server/routes/dailySalesLibrary.ts;server/routes/dailyStock.ts,APP_BASE_URL;BOBS_LOYVERSE_TOKEN;BOBS_LOYVERSE_WRITE_TOKEN;BOB_API_BASE_URL;BOB_BASE_URL;BOB_READONLY_TOKEN;BOB_WRITE_TOKEN;DAILY_REPORT_TO;DATABASE_URL;EMAIL_FROM;EMAIL_TO_MANAGEMENT;GEMINI_API_KEY;GEMINI_API_KEY_ENV_VAR;GMAIL_APP_PASSWORD;GMAIL_PASS;GMAIL_USER;GOOGLE_CLIENT_ID;GOOGLE_CLIENT_SECRET;GOOGLE_EMAIL;GOOGLE_PASSWORD;GOOGLE_REFRESH_TOKEN;GOOGLE_USER_EMAIL;LINE_TOKEN;LOYVERSE_ACCESS_TOKEN;LOYVERSE_CLIENT_ID;LOYVERSE_CLIENT_SECRET;LOYVERSE_STORE_ID;LOYVERSE_TOKEN;LOYVERSE_WEBHOOK_SECRET;MANAGEMENT_EMAIL;OPENAI_API_KEY;OPENAI_API_KEY_ENV_VAR;OPENCLAW_BASE_URL;OPENCLAW_DEVICE_ID;OPENCLAW_DEVICE_PRIVATE_KEY;OPENCLAW_GATEWAY_TOKEN;PORT;REPLIT_DEV_DOMAIN;SALES_SUBMIT_CC;SBB_EMAIL_PASS;SBB_EMAIL_USER;SBB_MANAGEMENT_EMAIL;SENDGRID_API_KEY;SHIFT_ALERT_EMAIL;SMTP_FROM;SMTP_HOST;SMTP_PASS;SMTP_PORT;SMTP_USER;TZ;USE_GPT_SUMMARY,static keyword-matched integration surface,unknown,medium,Needs runtime token/config verification
Google Sheets,internal/outbound,archive/_legacy/routes.ts_legacy_dir/services/googleOAuthEmailService.ts;archive/_legacy/routes.ts_legacy_dir/services/googleSheetsService.ts;attached_assets/Food and Ingredient Costing - Sheet1_1751622976338.csv;attached_assets/Food and Ingredient Costing - Sheet1_1751824254323.csv;attached_assets/Pasted-Step-1-Copy-paste-this-CSS-block-Append-this-to-the-bottom-of-your-global-stylesheet-usually-clie-1761837123095_1761837123102.txt;attached_assets/Pasted-The-provided-image-is-a-spreadsheet-of-35-receipts-for-the-shift-July-17-18-2025-with-gross-sale-1752868054156_1752868054160.txt;attached_assets/Screenshot_2025-08-03-20-13-16-027_com.google.android.gm_1754226924545.jpg;attached_assets/Screenshot_2025-08-03-20-14-33-156_com.google.android.gm_1754226924488.jpg;attached_assets/Screenshot_2025-08-03-20-14-35-682_com.google.android.gm_1754226924430.jpg;client/src/components/ui/sheet.tsx;client/src/pages/pos/components/POSModifierSheet.tsx;exports/services/googleSheetsService.ts;extracted_dashboard/Restaurant-Hub/attached_assets/Food and Ingredient Costing - Sheet1_1751622976338.csv;extracted_dashboard/Restaurant-Hub/attached_assets/Food and Ingredient Costing - Sheet1_1751824254323.csv;extracted_dashboard/Restaurant-Hub/client/src/components/ui/sheet.tsx;extracted_dashboard/Restaurant-Hub/server/googleSheetsService.ts;scripts/uploadToGoogleDrive.ts;server/services/googleOAuthEmailService.ts;server/services/googleSheetsService.ts;server/utils/googleDriveUpload.ts,,GOOGLE_CLIENT_ID;GOOGLE_CLIENT_SECRET;GOOGLE_REFRESH_TOKEN;GOOGLE_SHEETS_ID;GOOGLE_USER_EMAIL;MANAGEMENT_EMAIL;REPLIT_CONNECTORS_HOSTNAME;REPL_IDENTITY;WEB_REPL_RENEWAL,static keyword-matched integration surface,unknown,medium,Needs runtime token/config verification
Online Ordering,internal/outbound,attached_assets/Pasted--AGENT-WORK-ORDER-Online-Ordering-CSV-import-API-images-0-Goal-do-not-deviate-Use-th-1762489063411_1762489063415.txt;attached_assets/Pasted--SBB-ONLINE-ORDERING-ONE-SHOT-PATCH-set-e-0-Pre-reqs-mkdir-p-server-routes-serv-1762487973109_1762487973114.txt;attached_assets/Pasted-Do-this-now-one-shot-1-Build-the-client-cd-online-ordering-client-npm-install-npm-run-build--1760798029055_1760798029056.txt;attached_assets/Pasted-Do-this-now-one-shot-1-Build-the-client-cd-online-ordering-client-npm-install-npm-run-build--1760798052492_1760798052494.txt;attached_assets/Pasted-Do-this-now-one-shot-1-Build-the-client-cd-online-ordering-client-npm-install-npm-run-build--1760798077698_1760798077699.txt;attached_assets/Pasted-Do-this-now-one-shot-1-Build-the-client-cd-online-ordering-client-npm-install-npm-run-build--1760798122015_1760798122018.txt;attached_assets/Pasted-PROJECT-Smash-Brothers-Burgers-ONLINE-ORDERING-FINAL-VA_1775147875904.txt;attached_assets/Pasted-PROJECT-Smash-Brothers-Burgers-ONLINE-ORDERING-RUNTIME-_1775114709518.txt;attached_assets/Pasted-Paste-this-full-replacement-for-online-ordering-client-src-styles-css-Your-auto-build-will-pick-it--1760815372128_1760815372132.txt;attached_assets/Pasted-TASK-Clean-up-Online-Ordering-navigation-fix-the-Recipe_1775413564035.txt;attached_assets/Pasted-To-do-copy-paste-steps-1-Add-the-module-Create-online-ordering-server-and-online-ordering-cl-1760793411306_1760793411309.txt;attached_assets/Pasted-import-React-useEffect-useMemo-useRef-useState-from-react-SBB-Online-Ordering-VEV--1761057748702_1761057748704.txt;attached_assets/Pasted-import-React-useEffect-useMemo-useRef-useState-from-react-SBB-Online-Ordering-VEV--1761059849050_1761059849054.txt;attached_assets/Pasted-import-React-useEffect-useMemo-useRef-useState-from-react-SBB-Online-Ordering-VEV--1761059849175_1761059849177.txt;attached_assets/Pasted-import-React-useEffect-useMemo-useRef-useState-from-react-SBB-Online-Ordering-VEV--1761229406071_1761229406074.txt;attached_assets/Pasted-import-React-useEffect-useMemo-useRef-useState-from-react-SBB-Online-Ordering-VEV--1761284648602_1761284648605.txt;client/src/pages/online-ordering/CatalogPage.tsx;docs/online-ordering-catalog.md;online-ordering/BUILD.md;online-ordering/README.md;online-ordering/client/index.html;online-ordering/client/package-lock.json;online-ordering/client/package.json;online-ordering/client/public/images/sbb-logo.png;online-ordering/client/src/App.tsx,server/routes/ordersV2Routes.ts,PORT,static keyword-matched integration surface,unknown,medium,Needs runtime token/config verification
SCB Payment,internal/outbound,attached_assets/Pasted--PATCH-O5-SCB-LIVE-PAYMENT-CONFIRMATION-ENGINE-Below-is_1765278276463.txt;server/config/scbConfig.ts;server/routes/payments/scbRoutes.ts;server/services/payments/scbAdapter.ts;server/services/scbClient.ts;server/services/scbDynamicQR.ts;server/services/scbPaymentMatcher.ts;server/services/scbSignature.ts,server/routes/payments/scbRoutes.ts,SCB_BILLER_ID;SCB_CLIENT_ID;SCB_CLIENT_SECRET;SCB_MERCHANT_ID;SCB_MODE,static keyword-matched integration surface,unknown,medium,Needs runtime token/config verification
QR Payment,internal/outbound,attached_assets/Pasted--PATCH-O4-LOYVERSE-MAPPING-CONSOLE-LIVE-QR-PAYMENT-API-_1765266309094.txt;attached_assets/Pasted--PATCH-O4-LOYVERSE-MAPPING-CONSOLE-LIVE-QR-PAYMENT-API-_1765266411398.txt;attached_assets/Pasted-ou-now-get-QR-driven-bar-referrals-primary-Session-leve_1765281944201.txt;attached_assets/Pasted-ou-now-get-QR-driven-bar-referrals-primary-Session-leve_1765281991796.txt;client/src/components/QRCodePayment.tsx;server/routes/payments/qrRoutes.ts;server/routes/qrRoutes.ts;server/services/scbDynamicQR.ts,server/routes/payments/qrRoutes.ts;server/routes/qrRoutes.ts,PROMPTPAY_ID,static keyword-matched integration surface,unknown,medium,Needs runtime token/config verification
Membership,internal/outbound,attached_assets/Pasted--1-Install-one-client-dep-npm-i-jsbarcode-2-Create-page-client-src-pages-membership-Membership-1762318522590_1762318522592.txt;attached_assets/smash-brothers-burgers-membership_1761982267321.zip;attached_assets/smash-brothers-burgers-membership_1761982414156.zip;client/src/pages/membership/MemberDashboard.tsx;client/src/pages/membership/MemberRegistration.tsx;client/src/pages/membership/MembershipApp.tsx;client/src/pages/public/PublicMembership.tsx;server/routes/membership.ts,server/routes/membership.ts,LOYVERSE_API_TOKEN,static keyword-matched integration surface,unknown,medium,Needs runtime token/config verification
GitHub,internal/outbound,attached_assets/Pasted-Immediate-Next-Steps-Upload-the-Replit-project-as-a-ZIP-or-share-a-public-Replit-link-GitHub-repo--1752681894944_1752681894947.txt;attached_assets/Pasted-You-have-access-to-the-repo-https-github-com-colcamente_1765178428373.txt;attached_assets/Pasted-You-have-access-to-the-repo-https-github-com-colcamente_1765179178350.txt;attached_assets/Pasted-You-have-access-to-the-repository-https-github-com-colc_1765175661813.txt;attached_assets/Pasted-You-have-access-to-the-repository-https-github-com-colc_1765175745986.txt;scripts/backupToGitHub.ts;scripts/chunkedGitHubPush.ts;scripts/completeGitHubPush.ts;scripts/essentialGitHubPush.ts;scripts/pushToGitHub.ts;scripts/uploadToGitHub.ts;server/routes/github.ts;server/utils/githubBackup.ts;server/utils/githubPush.ts,server/routes/github.ts,REPLIT_CONNECTORS_HOSTNAME;REPL_IDENTITY;WEB_REPL_RENEWAL,static keyword-matched integration surface,unknown,medium,Needs runtime token/config verification
Line Notify,internal/outbound,server/routes/lineNotify.ts,server/routes/lineNotify.ts,LINE_NOTIFY_TOKEN,static keyword-matched integration surface,unknown,medium,Needs runtime token/config verification
